experiment_id,x,y,true_label,before_data_and_weigths_transformation_prediction,before_data_and_weigths_transformation_confidence,after_data_and_before_weigths_transformation_prediction,after_data_and_before_weigths_transformation_confidence,before_data_and_after_weigths_transformation_prediction,before_data_and_after_weigths_transformation_confidence,after_data_and_weigths_transformation_prediction,after_data_and_weigths_transformation_confidence,after_data_and_before_weigths_transformation_prediction_match,after_data_and_before_weigths_transformation_confidence_change,before_data_and_after_weigths_transformation_prediction_match,before_data_and_after_weigths_transformation_confidence_change,after_data_and_weigths_transformation_prediction_match,after_data_and_weigths_transformation_confidence_change
0,0.748883,4.466553,0,out,0.058330,out,0.008863,out,0.257380,out,0.058330,true,-0.049467,true,0.199050,true,0.000000
1,2.915012,7.792783,0,out,0.007039,out,0.007040,out,0.007040,out,0.007039,true,0.000002,true,0.000001,true,0.000000
2,10.806968,8.793428,0,out,0.112117,out,0.035415,in,0.992929,out,0.112117,true,-0.076702,false,0.880812,true,0.000000
3,9.720528,5.146038,1,in,0.871569,in,0.711415,out,0.008068,in,0.871570,true,-0.160154,false,-0.863501,true,0.000000
4,6.421433,5.919338,1,in,0.962739,in,0.993300,out,0.405668,in,0.962739,true,0.030561,false,-0.557071,true,0.000000
5,1.552912,1.323665,1,in,0.966482,in,0.983528,in,0.745517,in,0.966482,true,0.017046,true,-0.220965,true,0.000000
6,10.725274,11.075804,0,out,0.044843,out,0.034109,in,0.974599,out,0.044843,true,-0.010733,false,0.929756,true,0.000000
7,9.355639,5.716580,1,in,0.990762,in,0.704562,out,0.009522,in,0.990762,true,-0.286201,false,-0.981241,true,0.000000
8,3.381909,3.165688,1,in,0.932532,out,0.083337,in,0.991611,in,0.932532,false,-0.849195,true,0.059079,true,-0.000000
9,8.025612,8.196489,1,in,0.994599,out,0.370167,in,0.983850,in,0.994599,false,-0.624432,true,-0.010749,true,0.000000
10,4.403111,1.850734,1,in,0.816637,out,0.010728,in,0.832571,in,0.816638,false,-0.805909,true,0.015934,true,0.000001
11,0.668112,4.915685,0,out,0.027775,out,0.007420,out,0.216514,out,0.027775,true,-0.020355,true,0.188739,true,0.000000
