experiment_id,timestamp,x,y,true_label,before_rotation_prediction,before_rotation_confidence,after_rotation_prediction,after_rotation_confidence,prediction_match,confidence_change
0,2025-11-27 23:37:56,0.748883,4.466553,0.0,out,0.013651999644935131,out,0.013651999644935131,true,0.000000
1,2025-11-27 23:37:56,2.915012,7.792783,0.0,out,0.011008913628757,out,0.011008913628757,true,0.000000
2,2025-11-27 23:37:56,10.806968,8.793428,0.0,out,0.10090989619493484,out,0.10090997815132141,true,0.000000
3,2025-11-27 23:37:56,9.720528,5.146038,1.0,in,0.8978258967399597,in,0.8978258967399597,true,0.000000
4,2025-11-27 23:37:56,6.421433,5.919338,1.0,in,0.9459534287452698,in,0.9459533095359802,true,-0.000000
5,2025-11-27 23:37:56,1.552912,1.323665,1.0,in,0.9267419576644897,in,0.9267419576644897,true,0.000000
6,2025-11-27 23:37:56,10.725274,11.075804,0.0,out,0.074197918176651,out,0.074197918176651,true,0.000000
7,2025-11-27 23:37:56,9.355639,5.716580,1.0,in,0.9770429134368896,in,0.9770429134368896,true,0.000000
8,2025-11-27 23:37:56,3.381909,3.165688,1.0,in,0.9530296325683594,in,0.9530295729637146,true,-0.000000
9,2025-11-27 23:37:56,8.025612,8.196489,1.0,in,0.9840325713157654,in,0.9840325713157654,true,0.000000
10,2025-11-27 23:37:56,4.403111,1.850734,1.0,in,0.8204574584960938,in,0.8204574584960938,true,0.000000
11,2025-11-27 23:37:56,0.668112,4.915685,0.0,out,0.011815252713859081,out,0.011815252713859081,true,0.000000
12,2025-11-27 23:37:56,5.970264,5.633243,1.0,in,0.8895191550254822,in,0.8895191550254822,true,0.000000
13,2025-11-27 23:37:56,10.339024,6.225935,1.0,in,0.7420855760574341,in,0.7420849800109863,true,-0.000001
14,2025-11-27 23:37:56,3.966670,1.259314,1.0,in,0.946844756603241,in,0.946844756603241,true,0.000000
15,2025-11-27 23:37:56,9.105072,1.059733,0.0,out,0.010958589613437653,out,0.010958589613437653,true,0.000000
16,2025-11-27 23:37:56,8.692580,6.557457,1.0,in,0.9856624007225037,in,0.9856624007225037,true,0.000000
17,2025-11-27 23:37:56,5.592625,3.496603,0.0,out,0.021800478920340538,out,0.021800484508275986,true,0.000000
