experiment_id, actualImage, before_data_and_weigths_rotation_prediction, before_data_and_weigths_rotation_confidence, after_data_and_before_weigths_rotation_prediction, after_data_and_before_weigths_rotation_confidence, before_data_and_after_weigths_rotation_prediction, before_data_and_after_weigths_rotation_confidence, after_data_and_weigths_rotation_prediction, after_data_and_weigths_rotation_confidence, after_data_and_before_weigths_rotation_prediction_match, after_data_and_before_weigths_rotation_confidence_change, before_data_and_after_weigths_rotation_prediction_match, before_data_and_after_weigths_rotation_confidence_change, after_data_and_weigths_rotation_prediction_match, after_data_and_weigths_rotation_confidence_change
            0,           0,                                           0,                                    1.000000,                                                 2,                                          1.000000,                                                 5,                                          1.000000,                                          0,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
            1,           0,                                           0,                                    1.000000,                                                 2,                                          1.000000,                                                 2,                                          1.000000,                                          0,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
            2,           0,                                           0,                                    1.000000,                                                 1,                                          1.000000,                                                 1,                                          1.000000,                                          0,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
            3,           0,                                           0,                                    1.000000,                                                 1,                                          1.000000,                                                 1,                                          1.000000,                                          0,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
            4,           0,                                           0,                                    1.000000,                                                 2,                                          1.000000,                                                 8,                                          1.000000,                                          0,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
            5,           0,                                           0,                                    1.000000,                                                 2,                                          1.000000,                                                 5,                                          1.000000,                                          0,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
            6,           0,                                           0,                                    1.000000,                                                 1,                                          1.000000,                                                 8,                                          1.000000,                                          0,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
            7,           0,                                           0,                                    1.000000,                                                 6,                                          1.000000,                                                 1,                                          1.000000,                                          0,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
            8,           0,                                           0,                                    1.000000,                                                 2,                                          1.000000,                                                 5,                                          1.000000,                                          0,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
            9,           0,                                           0,                                    1.000000,                                                 2,                                          1.000000,                                                 5,                                          1.000000,                                          0,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
           10,           0,                                           0,                                    1.000000,                                                 1,                                          1.000000,                                                 2,                                          1.000000,                                          0,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
           11,           0,                                           0,                                    1.000000,                                                 1,                                          1.000000,                                                 1,                                          1.000000,                                          0,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
           12,           0,                                           0,                                    1.000000,                                                 2,                                          1.000000,                                                 1,                                          1.000000,                                          0,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
           13,           0,                                           0,                                    1.000000,                                                 1,                                          1.000000,                                                 2,                                          1.000000,                                          0,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
           14,           0,                                           0,                                    1.000000,                                                 2,                                          1.000000,                                                 5,                                          1.000000,                                          0,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
           15,           0,                                           0,                                    1.000000,                                                 1,                                          1.000000,                                                 5,                                          1.000000,                                          0,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
           16,           0,                                           0,                                    1.000000,                                                 2,                                          1.000000,                                                 1,                                          1.000000,                                          0,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
           17,           0,                                           0,                                    1.000000,                                                 1,                                          1.000000,                                                 5,                                          1.000000,                                          0,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
           18,           0,                                           0,                                    1.000000,                                                 1,                                          1.000000,                                                 5,                                          1.000000,                                          0,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
           19,           0,                                           0,                                    1.000000,                                                 2,                                          1.000000,                                                 5,                                          1.000000,                                          0,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
           20,           0,                                           0,                                    1.000000,                                                 1,                                          1.000000,                                                 5,                                          1.000000,                                          0,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
           21,           0,                                           0,                                    1.000000,                                                 1,                                          1.000000,                                                 5,                                          1.000000,                                          0,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
           22,           0,                                           0,                                    1.000000,                                                 2,                                          1.000000,                                                 3,                                          1.000000,                                          0,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
           23,           0,                                           0,                                    1.000000,                                                 2,                                          1.000000,                                                 3,                                          1.000000,                                          0,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
           24,           0,                                           0,                                    1.000000,                                                 1,                                          0.990619,                                                 1,                                          1.000000,                                          0,                                   1.000000, false                                                  , -0.009381                                               , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
           25,           0,                                           0,                                    1.000000,                                                 2,                                          1.000000,                                                 5,                                          1.000000,                                          0,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
           26,           0,                                           0,                                    1.000000,                                                 2,                                          1.000000,                                                 5,                                          1.000000,                                          0,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
           27,           0,                                           0,                                    1.000000,                                                 2,                                          1.000000,                                                 5,                                          1.000000,                                          0,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
           28,           0,                                           0,                                    1.000000,                                                 1,                                          1.000000,                                                 5,                                          1.000000,                                          0,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
           29,           0,                                           0,                                    1.000000,                                                 3,                                          1.000000,                                                 1,                                          1.000000,                                          0,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
           30,           0,                                           0,                                    1.000000,                                                 1,                                          1.000000,                                                 1,                                          1.000000,                                          0,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
           31,           0,                                           0,                                    1.000000,                                                 2,                                          1.000000,                                                 1,                                          1.000000,                                          0,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
