x,y,class,class_name
5.056679,2.030664,1,outside
4.638572,2.968537,1,outside
0.621379,1.456975,1,outside
2.680809,1.621391,0,inside
2.568933,2.925199,0,inside
2.877781,3.352879,0,inside
3.267668,1.500674,0,inside
4.933246,3.867399,1,outside
0.864981,5.711658,1,outside
2.646525,2.611743,0,inside
0.697166,1.314737,1,outside
4.466814,1.694658,0,inside
3.365680,1.193819,0,inside
1.319568,5.827114,1,outside
4.276975,1.404804,0,inside
2.056996,2.261220,0,inside
2.736807,3.461182,0,inside
1.334835,2.599842,1,outside
0.399550,5.126870,1,outside
1.644637,1.309469,0,inside
3.180183,4.713502,1,outside
2.029840,1.400451,0,inside
2.870661,1.161906,0,inside
3.769210,1.170337,0,inside
4.944139,2.357827,1,outside
1.445900,1.558967,0,inside
3.243532,3.593774,0,inside
4.072455,1.092012,0,inside
5.987252,3.242734,1,outside
4.326552,1.177413,0,inside
3.732435,2.395419,0,inside
3.025477,1.374513,0,inside
2.739295,1.138774,0,inside
3.385479,3.779386,1,outside
4.035151,1.401525,0,inside
5.705791,4.857545,1,outside
2.383819,2.827889,0,inside
3.867066,2.494735,0,inside
0.144025,1.281300,1,outside
2.851074,1.902814,0,inside
3.675445,2.581723,0,inside
0.088310,4.114905,1,outside
2.390780,1.006983,0,inside
4.342306,5.875150,1,outside
2.824294,5.064235,1,outside
3.649290,1.311177,0,inside
5.255766,4.896708,1,outside
0.385707,1.192878,1,outside
3.629803,4.208097,1,outside
5.971346,4.519857,1,outside
2.808574,2.891585,0,inside
2.863001,3.283585,0,inside
1.666484,3.332290,1,outside
2.129383,5.158893,1,outside
3.301603,2.987786,0,inside
5.186434,1.205549,1,outside
3.018520,1.696299,0,inside
4.875104,3.682130,1,outside
2.489995,2.264029,0,inside
2.977704,1.898872,0,inside
1.920098,3.932747,1,outside
5.038611,3.426501,1,outside
2.949881,2.189584,0,inside
2.410002,1.673915,0,inside
0.850149,1.025263,1,outside
0.564879,4.492453,1,outside
3.198227,2.853564,0,inside
3.484229,2.875257,0,inside
2.386904,2.261443,0,inside
4.635093,2.643092,1,outside
