experiment_id,timestamp,x,y,true_label,before_data_and_weigths_rotation_prediction,before_data_and_weigths_rotation_confidence,after_data_and_before_weigths_rotation_prediction,after_data_and_before_weigths_rotation_confidence,before_data_and_after_weigths_rotation_prediction,before_data_and_after_weigths_rotation_confidence,after_data_and_weigths_rotation_prediction,after_data_and_weigths_rotation_confidence,after_data_and_before_weigths_rotation_prediction_match,after_data_and_before_weigths_rotation_confidence_change,before_data_and_after_weigths_rotation_prediction_match,before_data_and_after_weigths_rotation_confidence_change,after_data_and_weigths_rotation_prediction_match,after_data_and_weigths_rotation_confidence_change
0,2025-11-29 16:45:13,0.748883,4.466553,0,out,0.013652,out,0.012853,out,0.011011,out,0.013652,true,-0.000799,true,-0.002641,true,0.000000
1,2025-11-29 16:45:13,2.915012,7.792783,0,out,0.011009,out,0.012926,out,0.023154,out,0.011009,true,0.001917,true,0.012145,true,0.000000
2,2025-11-29 16:45:13,10.806968,8.793428,0,out,0.100910,out,0.012877,out,0.029691,out,0.100910,true,-0.088033,true,-0.071219,true,0.000000
3,2025-11-29 16:45:13,9.720528,5.146038,1,in,0.897826,out,0.012894,out,0.029064,in,0.897826,false,-0.884931,false,-0.868761,true,0.000000
4,2025-11-29 16:45:13,6.421433,5.919338,1,in,0.945953,out,0.012825,out,0.029729,in,0.945953,false,-0.933129,false,-0.916225,true,-0.000000
5,2025-11-29 16:45:13,1.552912,1.323665,1,in,0.926742,out,0.012773,out,0.012538,in,0.926742,false,-0.913969,false,-0.914203,true,-0.000000
6,2025-11-29 16:45:13,10.725274,11.075804,0,out,0.074198,out,0.012863,out,0.029935,out,0.074198,true,-0.061335,true,-0.044263,true,0.000000
7,2025-11-29 16:45:13,9.355639,5.716580,1,in,0.977043,out,0.012875,out,0.029491,in,0.977043,false,-0.964168,false,-0.947552,true,0.000000
8,2025-11-29 16:45:13,3.381909,3.165688,1,in,0.953030,out,0.012808,out,0.028352,in,0.953030,false,-0.940222,false,-0.924678,true,0.000000
9,2025-11-29 16:45:13,8.025612,8.196489,1,in,0.984033,out,0.012837,out,0.029829,in,0.984033,false,-0.971195,false,-0.954203,true,0.000000
10,2025-11-29 16:45:13,4.403111,1.850734,1,in,0.820457,out,0.012817,out,0.029280,in,0.820457,false,-0.807641,false,-0.791177,true,0.000000
11,2025-11-29 16:45:13,0.668112,4.915685,0,out,0.011815,out,0.012870,out,0.011011,out,0.011815,true,0.001055,true,-0.000805,true,0.000000
12,2025-11-29 16:45:13,5.970264,5.633243,1,in,0.889519,out,0.012822,out,0.029731,in,0.889519,false,-0.876697,false,-0.859789,true,0.000000
13,2025-11-29 16:45:13,10.339024,6.225935,1,in,0.742086,out,0.012898,out,0.029407,in,0.742086,false,-0.729188,false,-0.712678,true,-0.000000
14,2025-11-29 16:45:13,3.966670,1.259314,1,in,0.946845,out,0.012813,out,0.028778,in,0.946845,false,-0.934032,false,-0.918067,true,0.000000
15,2025-11-29 16:45:13,9.105072,1.059733,0,out,0.010959,out,0.012951,out,0.011066,out,0.010959,true,0.001992,true,0.000108,true,0.000000
16,2025-11-29 16:45:13,8.692580,6.557457,1,in,0.985662,out,0.012852,out,0.029646,in,0.985662,false,-0.972811,false,-0.956016,true,0.000000
17,2025-11-29 16:45:13,5.592625,3.496603,0,out,0.021800,out,0.012823,out,0.029601,out,0.021800,true,-0.008977,true,0.007800,true,0.000000
18,2025-11-29 16:45:13,3.478852,9.713805,0,out,0.010988,out,0.013076,out,0.027105,out,0.010988,true,0.002088,true,0.016117,true,0.000000
19,2025-11-29 16:45:13,8.929009,8.338689,1,in,0.900946,out,0.012846,out,0.029775,in,0.900946,false,-0.888100,false,-0.871171,true,0.000000
20,2025-11-29 16:45:13,2.566664,9.321138,0,out,0.011006,out,0.013144,out,0.011452,out,0.011006,true,0.002138,true,0.000446,true,0.000000
