experiment_id,x,y,true_label,before_data_and_weigths_transformation_prediction,before_data_and_weigths_transformation_confidence,after_data_and_before_weigths_transformation_prediction,after_data_and_before_weigths_transformation_confidence,before_data_and_after_weigths_transformation_prediction,before_data_and_after_weigths_transformation_confidence,after_data_and_weigths_transformation_prediction,after_data_and_weigths_transformation_confidence,after_data_and_before_weigths_transformation_prediction_match,after_data_and_before_weigths_transformation_confidence_change,before_data_and_after_weigths_transformation_prediction_match,before_data_and_after_weigths_transformation_confidence_change,after_data_and_weigths_transformation_prediction_match,after_data_and_weigths_transformation_confidence_change
0,0.748883,4.466553,0,out,0.013652,out,0.011325,out,0.012876,out,0.013652,true,-0.002327,true,-0.000776,true,0.000000
1,2.915012,7.792783,0,out,0.011009,out,0.029955,out,0.013105,out,0.011009,true,0.018946,true,0.002096,true,0.000000
2,10.806968,8.793428,0,out,0.100910,out,0.027732,out,0.012856,out,0.100910,true,-0.073178,true,-0.088054,true,0.000000
3,9.720528,5.146038,1,in,0.897826,out,0.012521,out,0.012846,in,0.897826,false,-0.885305,false,-0.884980,true,-0.000000
4,6.421433,5.919338,1,in,0.945953,out,0.029565,out,0.012831,in,0.945953,false,-0.916389,false,-0.933122,true,-0.000000
5,1.552912,1.323665,1,in,0.926742,out,0.014082,out,0.012797,in,0.926742,false,-0.912660,false,-0.913945,true,0.000000
6,10.725274,11.075804,0,out,0.074198,out,0.029556,out,0.012955,out,0.074198,true,-0.044641,true,-0.061243,true,0.000000
7,9.355639,5.716580,1,in,0.977043,out,0.019840,out,0.012838,in,0.977043,false,-0.957203,false,-0.964205,true,0.000000
8,3.381909,3.165688,1,in,0.953030,out,0.029044,out,0.012811,in,0.953030,false,-0.923986,false,-0.940219,true,0.000000
9,8.025612,8.196489,1,in,0.984033,out,0.029589,out,0.012871,in,0.984033,false,-0.954444,false,-0.971161,true,0.000000
10,4.403111,1.850734,1,in,0.820457,out,0.028851,out,0.012811,in,0.820457,false,-0.791607,false,-0.807647,true,0.000000
11,0.668112,4.915685,0,out,0.011815,out,0.011198,out,0.012876,out,0.011815,true,-0.000617,true,0.001061,true,0.000000
12,5.970264,5.633243,1,in,0.889519,out,0.029590,out,0.012830,in,0.889519,false,-0.859929,false,-0.876690,true,0.000000
13,10.339024,6.225935,1,in,0.742086,out,0.014304,out,0.012846,in,0.742086,false,-0.727781,false,-0.729239,true,-0.000000
14,3.966670,1.259314,1,in,0.946845,out,0.028355,out,0.012810,in,0.946845,false,-0.918490,false,-0.934035,true,0.000000
15,9.105072,1.059733,0,out,0.010959,out,0.011015,out,0.012899,out,0.010959,true,0.000057,true,0.001941,true,0.000000
16,8.692580,6.557457,1,in,0.985662,out,0.028379,out,0.012834,in,0.985662,false,-0.957284,false,-0.972828,true,0.000000
17,5.592625,3.496603,0,out,0.021800,out,0.029177,out,0.012815,out,0.021800,true,0.007376,true,-0.008986,true,0.000000
18,3.478852,9.713805,0,out,0.010988,out,0.030230,out,0.013500,out,0.010988,true,0.019242,true,0.002512,true,0.000000
