experiment_id,x,y,true_label,before_data_and_weigths_transformation_prediction,before_data_and_weigths_transformation_confidence,after_data_and_before_weigths_transformation_prediction,after_data_and_before_weigths_transformation_confidence,before_data_and_after_weigths_transformation_prediction,before_data_and_after_weigths_transformation_confidence,after_data_and_weigths_transformation_prediction,after_data_and_weigths_transformation_confidence,after_data_and_before_weigths_transformation_prediction_match,after_data_and_before_weigths_transformation_confidence_change,before_data_and_after_weigths_transformation_prediction_match,before_data_and_after_weigths_transformation_confidence_change,after_data_and_weigths_transformation_prediction_match,after_data_and_weigths_transformation_confidence_change
0,0.748883,4.466553,0,out,0.013652,out,0.000030,out,0.011239,out,0.013652,true,-0.013622,true,-0.002413,true,0.000000
1,2.915012,7.792783,0,out,0.011009,out,0.000141,out,0.013956,out,0.011009,true,-0.010868,true,0.002947,true,0.000000
2,10.806968,8.793428,0,out,0.100910,out,0.064464,in,0.984234,out,0.100910,true,-0.036446,false,0.883324,true,0.000000
3,9.720528,5.146038,1,in,0.897826,out,0.064463,in,0.923017,in,0.897826,false,-0.833363,true,0.025191,true,0.000000
4,6.421433,5.919338,1,in,0.945953,out,0.064464,in,0.559402,in,0.945953,false,-0.881489,true,-0.386551,true,0.000000
5,1.552912,1.323665,1,in,0.926742,in,0.985889,out,0.011076,in,0.926742,true,0.059147,false,-0.915666,true,0.000000
6,10.725274,11.075804,0,out,0.074198,out,0.064464,in,0.981775,out,0.074198,true,-0.009734,false,0.907577,true,0.000000
7,9.355639,5.716580,1,in,0.977043,out,0.064464,in,0.956938,in,0.977043,false,-0.912579,true,-0.020105,true,0.000000
8,3.381909,3.165688,1,in,0.953030,out,0.064498,out,0.012056,in,0.953030,false,-0.888531,false,-0.940974,true,0.000000
9,8.025612,8.196489,1,in,0.984033,out,0.064464,in,0.922502,in,0.984033,false,-0.919568,true,-0.061531,true,0.000000
10,4.403111,1.850734,1,in,0.820457,out,0.056412,out,0.012283,in,0.820457,false,-0.764046,false,-0.808175,true,0.000000
11,0.668112,4.915685,0,out,0.011815,out,0.000046,out,0.011339,out,0.011815,true,-0.011770,true,-0.000477,true,0.000000
12,5.970264,5.633243,1,in,0.889519,out,0.064464,out,0.308440,in,0.889519,false,-0.825055,false,-0.581079,true,0.000000
13,10.339024,6.225935,1,in,0.742086,out,0.064464,in,0.974203,in,0.742084,false,-0.677621,true,0.232117,true,-0.000001
14,3.966670,1.259314,1,in,0.946845,out,0.048943,out,0.011806,in,0.946845,false,-0.897902,false,-0.935039,true,0.000000
15,9.105072,1.059733,0,out,0.010959,out,0.048775,out,0.014249,out,0.010959,true,0.037816,true,0.003290,true,0.000000
16,8.692580,6.557457,1,in,0.985662,out,0.064464,in,0.963766,in,0.985662,false,-0.921198,true,-0.021897,true,0.000000
17,5.592625,3.496603,0,out,0.021800,out,0.064463,out,0.026027,out,0.021800,true,0.042663,true,0.004227,true,0.000000
18,3.478852,9.713805,0,out,0.010988,out,0.000141,out,0.015495,out,0.010988,true,-0.010848,true,0.004506,true,0.000000
19,8.929009,8.338689,1,in,0.900946,out,0.064464,in,0.968632,in,0.900946,false,-0.836482,true,0.067686,true,0.000000
20,2.566664,9.321138,0,out,0.011006,out,0.000141,out,0.014215,out,0.011006,true,-0.010865,true,0.003210,true,0.000000
21,2.659987,6.161905,0,out,0.011013,out,0.000141,out,0.013217,out,0.011013,true,-0.010873,true,0.002204,true,0.000000
22,9.333763,6.351922,1,in,0.976309,out,0.064464,in,0.970097,in,0.976309,false,-0.911845,true,-0.006212,true,0.000000
23,11.134523,4.545376,0,out,0.093248,out,0.055475,in,0.767023,out,0.093248,true,-0.037773,false,0.673775,true,0.000000
24,9.453466,7.729161,1,in,0.831754,out,0.064464,in,0.977211,in,0.831755,false,-0.767290,true,0.145457,true,0.000000
25,4.522678,1.265478,1,in,0.856819,out,0.048792,out,0.012174,in,0.856819,false,-0.808027,false,-0.844645,true,0.000000
26,7.607137,6.024675,1,in,0.979792,out,0.064464,in,0.901627,in,0.979792,false,-0.915328,true,-0.078164,true,0.000000
27,4.607725,2.230707,0,out,0.143867,out,0.063287,out,0.012813,out,0.143868,true,-0.080581,true,-0.131054,true,0.000000
28,3.410720,2.715500,1,in,0.979761,out,0.064528,out,0.011793,in,0.979762,false,-0.915233,false,-0.967968,true,0.000000
29,5.808163,3.463310,0,out,0.018694,out,0.064461,out,0.028260,out,0.018694,true,0.045768,true,0.009566,true,0.000000
30,8.703228,10.721523,0,out,0.228629,out,0.064464,in,0.860499,out,0.228629,true,-0.164165,false,0.631870,true,0.000000
31,0.819743,1.325585,0,out,0.020923,out,0.011018,out,0.011037,out,0.020923,true,-0.009905,true,-0.009886,true,0.000000
32,5.991563,6.706435,1,in,0.871804,out,0.064464,out,0.280121,in,0.871805,false,-0.807340,false,-0.591683,true,0.000000
33,4.700014,9.126263,0,out,0.010940,out,0.000141,out,0.020791,out,0.010940,true,-0.010799,true,0.009851,true,0.000000
34,8.784705,6.103191,1,in,0.985049,out,0.064464,in,0.959069,in,0.985049,false,-0.920585,true,-0.025981,true,0.000000
35,1.787260,1.287769,1,in,0.966574,in,0.983911,out,0.011099,in,0.966574,true,0.017337,false,-0.955475,true,0.000000
36,4.958566,2.223794,0,out,0.032880,out,0.061271,out,0.013323,out,0.032880,true,0.028392,true,-0.019557,true,0.000000
37,1.115230,1.226435,0,out,0.159314,in,0.720706,out,0.011049,out,0.159314,false,0.561392,true,-0.148264,true,0.000000
38,6.208071,8.980055,0,out,0.010905,out,0.000145,out,0.094602,out,0.010905,true,-0.010761,true,0.083697,true,0.000000
39,10.181705,6.179089,1,in,0.843038,out,0.064464,in,0.973049,in,0.843038,false,-0.778574,true,0.130011,true,0.000000
40,2.237359,7.911226,0,out,0.011011,out,0.000141,out,0.013195,out,0.011011,true,-0.010870,true,0.002184,true,0.000000
41,0.478516,9.843496,0,out,0.011013,out,0.000141,out,0.014307,out,0.011013,true,-0.010872,true,0.003294,true,0.000000
42,2.566568,4.970932,0,out,0.011025,out,0.000140,out,0.012461,out,0.011025,true,-0.010885,true,0.001436,true,0.000000
43,6.071526,8.838198,0,out,0.010938,out,0.000143,out,0.082990,out,0.010938,true,-0.010795,true,0.072052,true,0.000000
44,4.615602,1.526862,1,in,0.822274,out,0.049124,out,0.012326,in,0.822274,false,-0.773151,false,-0.809949,true,-0.000000
45,1.536477,0.001555,0,out,0.013186,out,0.010998,out,0.011120,out,0.013186,true,-0.002188,true,-0.002066,true,0.000000
46,7.160419,9.162447,1,in,0.878086,out,0.064400,out,0.436221,in,0.878086,false,-0.813686,false,-0.441866,true,-0.000000
47,6.955130,6.118203,1,in,0.971345,out,0.064464,in,0.787829,in,0.971345,false,-0.906881,true,-0.183516,true,0.000000
48,8.003185,8.169173,1,in,0.984478,out,0.064464,in,0.921024,in,0.984478,false,-0.920014,true,-0.063454,true,0.000000
49,4.154975,4.025421,0,out,0.226443,out,0.064465,out,0.016583,out,0.226443,true,-0.161978,true,-0.209860,true,0.000000
50,10.146261,0.035043,0,out,0.010310,out,0.000012,out,0.013388,out,0.010310,true,-0.010298,true,0.003078,true,0.000000
51,9.609653,5.219421,1,in,0.928297,out,0.064464,in,0.929499,in,0.928297,false,-0.863834,true,0.001202,true,0.000000
52,3.667647,1.865351,1,in,0.977114,out,0.063482,out,0.011701,in,0.977114,false,-0.913632,false,-0.965414,true,0.000000
53,2.237894,4.572438,0,out,0.011064,out,0.000137,out,0.011837,out,0.011064,true,-0.010927,true,0.000773,true,0.000000
54,11.152946,2.294101,0,out,0.032525,out,0.048775,out,0.019742,out,0.032525,true,0.016249,true,-0.012783,true,0.000000
55,8.609428,5.774458,1,in,0.982188,out,0.064464,in,0.945491,in,0.982188,false,-0.917724,true,-0.036697,true,0.000000
56,2.458916,5.785980,0,out,0.011015,out,0.000140,out,0.012746,out,0.011015,true,-0.010875,true,0.001731,true,0.000000
57,7.137621,5.785209,1,in,0.965266,out,0.064464,in,0.813940,in,0.965266,false,-0.900802,true,-0.151326,true,0.000000
58,3.087431,1.629729,1,in,0.983548,out,0.064149,out,0.011385,in,0.983548,false,-0.919398,false,-0.972162,true,0.000000
59,6.899175,6.324148,1,in,0.973982,out,0.064464,in,0.773402,in,0.973982,false,-0.909518,true,-0.200580,true,0.000000
60,9.664498,5.841474,1,in,0.967166,out,0.064464,in,0.963773,in,0.967166,false,-0.902702,true,-0.003393,true,-0.000000
61,4.333198,8.971535,0,out,0.010972,out,0.000141,out,0.018348,out,0.010972,true,-0.010831,true,0.007376,true,0.000000
62,8.814928,10.736998,0,out,0.200205,out,0.064464,in,0.884627,out,0.200205,true,-0.135741,false,0.684422,true,0.000000
63,4.681067,5.842642,0,out,0.020617,out,0.064399,out,0.039329,out,0.020617,true,0.043783,true,0.018713,true,-0.000000
64,2.529562,2.866087,1,in,0.978792,out,0.065107,out,0.011320,in,0.978792,false,-0.913685,false,-0.967472,true,0.000000
65,3.961146,6.638975,0,out,0.011014,out,0.000141,out,0.019305,out,0.011014,true,-0.010873,true,0.008291,true,0.000000
66,4.981190,5.041632,0,in,0.514436,out,0.064464,out,0.051780,in,0.514436,false,-0.449972,false,-0.462656,true,0.000000
67,9.811533,0.840387,0,out,0.010513,out,0.048765,out,0.014002,out,0.010513,true,0.038252,true,0.003489,true,0.000000
68,9.763653,5.519923,1,in,0.955640,out,0.064464,in,0.952898,in,0.955640,false,-0.891176,true,-0.002743,true,0.000000
69,11.086082,5.866134,0,out,0.262988,out,0.064464,in,0.969878,out,0.262988,true,-0.198525,false,0.706890,true,-0.000000
70,5.742747,4.214210,0,out,0.141653,out,0.064464,out,0.065280,out,0.141654,true,-0.077189,true,-0.076374,true,0.000000
71,8.148134,10.712278,0,out,0.270707,out,0.063908,in,0.624980,out,0.270707,true,-0.206799,false,0.354273,true,0.000000
72,10.353125,8.994899,0,out,0.124033,out,0.064464,in,0.982746,out,0.124033,true,-0.059569,false,0.858713,true,0.000000
73,9.870326,7.066615,1,in,0.799310,out,0.064464,in,0.978436,in,0.799310,false,-0.734846,true,0.179126,true,0.000000
74,8.786842,4.807032,0,in,0.540128,out,0.064463,in,0.821065,in,0.540128,false,-0.475665,true,0.280937,true,0.000000
75,8.271847,8.259616,1,in,0.978544,out,0.064464,in,0.942331,in,0.978544,false,-0.914080,true,-0.036213,true,0.000000
